gene,pval_spark,qval_spark,pval_spatialde,qval_spatialde,FSV,l,sig_spark,sig_spatialde,agreement
Cpne4,2.2204460492503099e-16,6.52678602849007e-13,1.6802156641571031e-06,0.0003986311663212,0.3258658754791061,0.099290620603231,True,True,True
Sepp1,5.55e-17,6.52678602849007e-13,,,,,True,False,False
Gja1,2.2204460492503099e-16,6.52678602849007e-13,4.112575516801442e-07,0.0001300944721814,0.3773383323853818,0.099290620603231,True,True,True
Scd1,5.55e-17,6.52678602849007e-13,1.8429702208777602e-14,3.248103373566989e-11,0.5416715745221771,0.099290620603231,True,True,True
Nr2f2,2.2204460492503099e-16,6.52678602849007e-13,0.0005948827132659,0.0412307192896714,0.2451323248248534,0.099290620603231,True,True,True
Fmo1,2.2204460492503099e-16,6.52678602849007e-13,0.0003989190595184,0.0296006742632671,0.2204915952237695,0.099290620603231,True,True,True
Sez6,2.2204460492503099e-16,6.52678602849007e-13,9.249915591591495e-06,0.0016072705444149,0.3039178641559084,0.099290620603231,True,True,True
Penk,2.2204460492503099e-16,6.52678602849007e-13,4.788961449619933e-10,3.282300966886729e-07,0.453919031165987,0.099290620603231,True,True,True
Kctd12,2.2204460492503099e-16,6.52678602849007e-13,1.6053824936079766e-13,2.4757004779552005e-10,0.6440753096365992,0.099290620603231,True,True,True
Ncdn,2.2204460492503099e-16,6.52678602849007e-13,9.387263825155756e-07,0.0002517623343716,0.3503269064445205,0.099290620603231,True,True,True
Baiap2,2.2204460492503099e-16,6.52678602849007e-13,1.3235518270260371e-06,0.000340180393542,0.3616608780419232,0.099290620603231,True,True,True
Kif5b,1.11022302462516e-16,6.52678602849007e-13,3.6637359812630166e-15,7.533251800140306e-12,0.5960694572056026,0.099290620603231,True,True,True
Meis2,2.2204460492503099e-16,6.52678602849007e-13,0.0007146022614099,0.04714464224072,0.2212240671055405,0.099290620603231,True,True,True
Glul,1.11022302462516e-16,6.52678602849007e-13,7.771561172376097e-16,1.9175550036720778e-12,0.5784083007225851,0.099290620603231,True,True,True
S100a5,1.11022302462516e-16,6.52678602849007e-13,4.769518113789672e-13,5.884154496982318e-10,0.5250397141444006,0.099290620603231,True,True,True
Mbp,2.2204460492503099e-16,6.52678602849007e-13,5.68911584508669e-12,5.848885181736207e-09,0.4754736695014245,0.099290620603231,True,True,True
Gng4,2.2204460492503099e-16,6.52678602849007e-13,6.43209573680803e-06,0.0011669524280147,0.3021037028334392,0.099290620603231,True,True,True
Mcf2l,1.11022302462516e-16,6.52678602849007e-13,6.264825580526434e-08,2.6651432133432627e-05,0.3729698300327502,0.099290620603231,True,True,True
Pcp4,1.11022302462516e-16,6.52678602849007e-13,1.8141044222375058e-13,2.486734028571568e-10,0.5690173177937327,0.099290620603231,True,True,True
Gng13,5.55e-17,6.52678602849007e-13,3.4639624404420033e-06,0.0007122484104622,0.3048109534636488,0.099290620603231,True,True,True
Tubb2b,8.881784197001249e-16,2.4801786908262198e-12,5.069849332572929e-07,0.0001525530029657,0.5058937560015543,0.0581467320804295,True,True,True
Ube2ql1,8.881784197001249e-16,2.4801786908262198e-12,0.0002763682267361,0.0225798332002911,0.2485701899359528,0.099290620603231,True,True,True
Ptgds,1.5543122344752201e-15,3.94573882631445e-12,1.5617129811573705e-10,1.2844568699025654e-07,0.6272234365412992,0.099290620603231,True,True,True
Egr1,1.5543122344752201e-15,3.94573882631445e-12,1.245495619506265e-05,0.0019955427867336,0.3270320799445771,0.099290620603231,True,True,True
Ctxn1,1.5543122344752201e-15,3.94573882631445e-12,0.0001844457228009,0.016804578522005,0.25617577616888,0.099290620603231,True,True,True
Ablim3,1.5543122344752201e-15,3.94573882631445e-12,3.64910103052285e-05,0.0048933651536478,0.2667750067676248,0.099290620603231,True,True,True
Npy,2.3314683517128303e-15,5.78708361192786e-12,0.0002128372812625,0.0183620527198313,0.3104037516776733,0.099290620603231,True,True,True
Trak2,2.88657986402541e-15,7.0092006479871594e-12,2.1041589888470824e-05,0.0032448761806758,0.3276238752568778,0.099290620603231,True,True,True
Syn1,2.9976021664879203e-15,7.12391751620299e-12,0.0001369024579446,0.0137314278346568,0.2516097903558605,0.099290620603231,True,True,True
Synpr,3.774758283725531e-15,8.78396619667621e-12,1.1723657156181844e-08,6.5743071970825184e-06,0.3875709486800983,0.099290620603231,True,True,True
Tspan3,4.44089209850063e-15,9.920714763304898e-12,0.0002365019879179,0.0201222415513331,0.3020193751765831,0.1695474016689043,True,True,True
Cck,4.44089209850063e-15,9.920714763304898e-12,3.323674668820331e-12,3.727652217203311e-09,0.7009568517969481,0.0581467320804295,True,True,True
Lpar1,6.2172489379008806e-15,1.3616667322183198e-11,0.0004350332850969,0.0315882634391481,0.2446461358502524,0.099290620603231,True,True,True
Igf1,6.5503158452884204e-15,1.3804768184787499e-11,0.0010303310038487,0.0620058224121074,0.3201264025885336,0.0581467320804295,True,False,False
Nrxn3,6.5503158452884204e-15,1.3804768184787499e-11,4.362810090308145e-06,0.0008409998138145,0.3649234967875009,0.099290620603231,True,True,True
Gprin1,8.659739592076221e-15,1.7912401655967198e-11,4.2162087403596615e-06,0.0008256407496796,0.3507523223664314,0.099290620603231,True,True,True
Vtn,1.36557432028894e-14,2.7732907179238696e-11,0.0005215902972259,0.0367706256964396,0.228580846378487,0.099290620603231,True,True,True
Ccnd1,1.62092561595273e-14,3.21988110738843e-11,0.0008273332632919,0.0526124250991403,0.2160616272727315,0.099290620603231,True,False,False
Frzb,1.64313007644523e-14,3.21988110738843e-11,0.0020679693195229,0.1032896254856443,0.2939318732426219,0.0581467320804295,True,False,False
Igfbp4,2.50910403565285e-14,4.83207227695454e-11,2.1054895071870305e-06,0.0004751471215908,0.4056221936443541,0.1695474016689043,True,True,True
Ptn,3.48610029732299e-14,6.599797533215549e-11,7.725583661688519e-08,3.074533084975846e-05,0.3980379944678504,0.099290620603231,True,True,True
Ahcyl2,4.54081217071689e-14,8.45327570456605e-11,0.0013338074673144,0.0750346920850691,0.2292999750565593,0.099290620603231,True,False,False
Rcn2,5.04041253179821e-14,9.229517423238569e-11,2.541676343703614e-05,0.0038711927225026,0.3300822695570265,0.099290620603231,True,True,True
Foxd3,6.139533326177121e-14,1.10607969034428e-10,7.400269451673935e-07,0.0002028824982784,0.3611799330544786,0.099290620603231,True,True,True
Hpcal4,9.836575998178891e-14,1.74399866672384e-10,3.8980878279581965e-05,0.005125763869953,0.2831222443082279,0.099290620603231,True,True,True
Abl2,1.21680443498917e-13,2.12365300401995e-10,0.0010236413989108,0.0619052153841342,0.2308973760385893,0.099290620603231,True,False,False
Gda,1.4077627952247e-13,2.40877960730244e-10,0.0004006900058333,0.0296006742632671,0.3640369555468672,0.0581467320804295,True,True,True
Vim,1.42330591756945e-13,2.40877960730244e-10,0.000994665863867,0.0607484790224175,0.2002406783589587,0.099290620603231,True,False,False
Rragd,1.62092561595273e-13,2.70228424522857e-10,0.0158840793025273,0.3845325982315677,0.1398859223189824,0.099290620603231,True,False,False
Tnfrsf19,2.02282635086704e-13,3.32270998138631e-10,0.0259604852579591,0.4904663194907225,0.1468146913809906,0.099290620603231,True,False,False
Kcnj4,2.20046203480706e-13,3.56211171392578e-10,0.0011176105281851,0.0666085076628996,0.201276621500257,0.099290620603231,True,False,False
Epas1,2.40585329436271e-13,3.83896230215745e-10,6.343767936622946e-06,0.0011669524280147,0.3179230007942102,0.099290620603231,True,True,True
Gpm6b,2.84994250421278e-13,4.48353429531755e-10,8.05290738536968e-08,3.104647450415804e-05,0.4240102080253824,0.099290620603231,True,True,True
S100b,3.0053737276603e-13,4.66239146949069e-10,0.0009153091243868,0.0573206531348261,0.208744291249801,0.099290620603231,True,False,False
Nsg2,3.08086889333481e-13,4.71403826509779e-10,1.0476025635863807e-07,3.90000118455652e-05,0.3893991963358212,0.099290620603231,True,True,True
Necab2,3.21076498721595e-13,4.84640322558746e-10,0.0017713508075734,0.0925981140382756,0.3277917116139673,0.0581467320804295,True,False,False
Mest,3.27293747659496e-13,4.87437785370381e-10,0.0012714522876958,0.0729577063874604,0.222733109691343,0.099290620603231,True,False,False
Camk2n1,3.71924713249427e-13,5.46618329886043e-10,1.3752997782834342e-06,0.0003462668033608,0.3459281427176126,0.099290620603231,True,True,True
Dynll1,4.42978986825437e-13,6.34353395922861e-10,4.659655401395568e-05,0.0058659355803078,0.2544501820835348,0.099290620603231,True,True,True
Snap25,4.42978986825437e-13,6.34353395922861e-10,1.4318272267832557e-07,4.648540130743427e-05,0.3916854121009768,0.099290620603231,True,True,True
Aplp1,4.86943818600594e-13,6.88485046706571e-10,6.694138884322243e-07,0.0001876945259451,0.3342639836925803,0.099290620603231,True,True,True
Slc7a11,6.63913368725844e-13,9.26966785696301e-10,0.0011336656191796,0.0672405420375901,0.2225589807604762,0.099290620603231,True,False,False
Msi2,6.89115431384835e-13,9.50275872466567e-10,5.957813135948342e-05,0.0070674558325187,0.3291136433170129,0.099290620603231,True,True,True
Vamp2,7.0832228971085e-13,9.64850002894592e-10,1.8620505137789678e-10,1.3513010110877133e-07,0.5275930300790577,0.099290620603231,True,True,True
Lamp1,7.7804429565731e-13,1.0470537509223e-09,5.9221296379807775e-05,0.0070674558325187,0.296405164906951,0.1695474016689043,True,True,True
Prkca,9.08384478748303e-13,1.2079060743059601e-09,2.7554603701629432e-05,0.0040956764562289,0.2871932037446119,0.099290620603231,True,True,True
Atf5,9.83435555212964e-13,1.29231899078463e-09,0.0006819366327065,0.0454759580416253,0.2463081693180871,0.099290620603231,True,True,True
Prdx6,9.96314142298615e-13,1.29401881229503e-09,7.203237318842426e-06,0.0012695191257508,0.4303319980157196,0.0581467320804295,True,True,True
Gm13889,1.0884626533424998e-12,1.39745240717588e-09,0.0031935988142219,0.1363302026680161,0.1938775878050938,0.099290620603231,True,False,False
C1qtnf4,1.14308562615406e-12,1.4509045341333402e-09,4.567206984940064e-05,0.0058088281003304,0.2796303215221973,0.099290620603231,True,True,True
Grin1,1.5728529589864599e-12,1.9739714333109603e-09,5.321050070561384e-07,0.0001562995112393,0.3690397408963143,0.099290620603231,True,True,True
Camk2a,1.62292401739705e-12,2.0141806723609902e-09,0.0001768693101639,0.01640629082325,0.2950053184799638,0.099290620603231,True,True,True
AI593442,1.66955338443131e-12,2.04928171168378e-09,0.0804207035191286,0.7590638552225842,0.1238865299579573,0.099290620603231,True,False,False
Fkbp1a,1.7508217098338698e-12,2.12567488882226e-09,0.0001852494673739,0.016804578522005,0.250571652360713,0.099290620603231,True,True,True
Mt2,1.9841905896100798e-12,2.3831050302390503e-09,0.0073369946862037,0.2521351070855031,0.2129348388348463,0.099290620603231,True,False,False
Atp1a1,2.10609307771392e-12,2.50260583856242e-09,6.734043245248955e-08,2.7692630505545453e-05,0.3975696499623504,0.099290620603231,True,True,True
Igfbp7,2.38165043242589e-12,2.80025227766338e-09,0.0085232720337182,0.2755078418583442,0.1308662684533952,0.1695474016689043,True,False,False
Icam5,2.41429098934987e-12,2.8090607193076603e-09,0.0003845366140545,0.029097560479163,0.3488652563275968,0.0581467320804295,True,True,True
Aqp4,2.6399993302561597e-12,3.0400087159359204e-09,0.0001079111771494,0.0117814176326823,0.4451343694973079,0.0581467320804295,True,True,True
Ahnak,3.1599167726881197e-12,3.6015737703212203e-09,0.0010899848071335,0.0652773910951756,0.2361520471228092,0.099290620603231,True,False,False
Stxbp1,3.2251978865360797e-12,3.6388480287122103e-09,0.0001337366108007,0.0136356079954439,0.2827222556337898,0.099290620603231,True,True,True
Laptm4a,4.09361433639788e-12,4.572457434407231e-09,9.483687260680718e-05,0.010446450869198,0.2967429141545269,0.099290620603231,True,True,True
Unc13c,4.72122341221848e-12,5.221267268682441e-09,0.000470022914033,0.0333257051173918,0.3608463492009778,0.0581467320804295,True,True,True
Bai2,5.23292520426821e-12,5.73042854967663e-09,,,,,True,False,False
Dpf1,6.07458527923654e-12,6.587523158667811e-09,0.0001817337375884,0.0167317098554383,0.2819642567185797,0.099290620603231,True,True,True
Scamp1,8.70148397780213e-12,9.34550409000943e-09,0.0016542374592397,0.0883477382451988,0.2132689913347359,0.099290620603231,True,False,False
Agt,9.184653038119e-12,9.770486796889141e-09,0.0009478600417962,0.0590593400789919,0.3242558249754582,0.0581467320804295,True,False,False
Tmem132b,9.53315204554883e-12,1.00455426247724e-08,0.0021471212669792,0.1050314369005349,0.2022871493068184,0.099290620603231,True,False,False
Cldn5,1.3076761895547398e-11,1.36508339765872e-08,0.0022128941512967,0.1071399846042342,0.1878758334954069,0.099290620603231,True,False,False
Mapk1,1.3280043731356298e-11,1.37346784389754e-08,9.950995379925942e-07,0.0002612030425577,0.3784440591032839,0.099290620603231,True,True,True
Arf3,1.3497425399577899e-11,1.38314332182802e-08,5.633084876333072e-07,0.0001616171351612,0.3945186435949556,0.099290620603231,True,True,True
Tshz1,2.5801139003078798e-11,2.61992548651478e-08,4.238870087136526e-05,0.0055047305542108,0.2420317951270841,0.099290620603231,True,True,True
Apc,3.10629300059873e-11,3.12580718876698e-08,1.2952657113540766e-07,4.4388036336042345e-05,0.4455579068984703,0.099290620603231,True,True,True
Pcp4l1,3.1531222077774094e-11,3.14460084653649e-08,4.321546904684226e-05,0.0055536379336551,0.2921776291363805,0.099290620603231,True,True,True
Psd,3.39961392370469e-11,3.35900305145647e-08,8.458950984113756e-09,5.21790391455057e-06,0.3918993554679633,0.099290620603231,True,True,True
2010300C02Rik,3.4569680451568294e-11,3.35900305145647e-08,0.0011528899696666,0.0677295407417986,0.2062434944641362,0.099290620603231,True,False,False
Tyro3,3.4583225172468695e-11,3.35900305145647e-08,3.905502178613851e-05,0.005125763869953,0.3944360424215659,0.0581467320804295,True,True,True
Limd2,4.02867739168755e-11,3.87924535223622e-08,0.0014062069829398,0.0777954060472125,0.2142003444019159,0.099290620603231,True,False,False
Psd3,4.1769698810867294e-11,3.98766097646226e-08,7.029547366510513e-05,0.0081050024168822,0.348883063806265,0.099290620603231,True,True,True
Igfbp2,4.6900261452265094e-11,4.43951985657894e-08,0.0032149885598579,0.1367700478033346,0.2299293584717144,0.099290620603231,True,False,False
Pbx1,4.99906782636117e-11,4.69228966466584e-08,0.0002689199250255,0.0221177674336001,0.2503228626437652,0.099290620603231,True,True,True
Agap2,5.1830650882323e-11,4.82445392347305e-08,2.5992187792089898e-06,0.0005625712645456,0.3467278665428106,0.099290620603231,True,True,True
Bgn,6.45050679537462e-11,5.95458107916093e-08,0.0030054687771935,0.1314839301568678,0.2207111869665173,0.099290620603231,True,False,False
Mfap3l,6.78770373241377e-11,6.21449429653573e-08,0.0080392516034443,0.2660964668231981,0.1705881203055453,0.099290620603231,True,False,False
Sorbs1,7.863987239176139e-11,7.14135191536376e-08,1.3577007125009644e-05,0.0021474299602723,0.4396525021978854,0.0581467320804295,True,True,True
Atp1b1,9.242118181873589e-11,8.25855852900174e-08,8.884398217112732e-09,5.2193724192628466e-06,0.541117738045834,0.0581467320804295,True,True,True
Sh3gl2,9.211387208551969e-11,8.25855852900174e-08,7.736496990806696e-05,0.0087564370069341,0.264071422341964,0.099290620603231,True,True,True
Lrrc58,1.06183728476594e-10,9.33892733512849e-08,0.0005278080038773,0.0369975417263313,0.2226501939891256,0.099290620603231,True,True,True
Cebpd,1.05699893282463e-10,9.33892733512849e-08,0.0173685894526844,0.4058263031775919,0.1441229881772253,0.099290620603231,True,False,False
Gad1,1.16212373058033e-10,1.014110189166e-07,2.8501433213645733e-05,0.0041685520168014,0.2849959614985058,0.099290620603231,True,True,True
Dclk1,1.20718435248079e-10,1.04526554139129e-07,2.1182695701948973e-06,0.0004751471215908,0.3240482633623407,0.099290620603231,True,True,True
Hey2,1.35307987036981e-10,1.16257994566527e-07,0.2675443396134659,0.9752785262472556,0.1097805286833863,0.0581467320804295,True,False,False
Sh3pxd2a,1.43196343671548e-10,1.22096546376728e-07,0.0105628505281629,0.3125033260574257,0.2689865760223432,0.0581467320804295,True,False,False
Ppm1e,1.51805901182911e-10,1.28190739589565e-07,0.0002073642732093,0.018015866468898,0.2538227520103571,0.099290620603231,True,True,True
Tbc1d9b,1.5263901254059e-10,1.28190739589565e-07,0.0351253097025278,0.5525177378846045,0.1477492497813423,0.099290620603231,True,False,False
Rgcc,1.77788672672818e-10,1.48197895207385e-07,0.0104867691747743,0.3125033260574257,0.2359143958297298,0.0581467320804295,True,False,False
Nfia,1.9413926022338002e-10,1.6062840547748e-07,0.2442999743504136,0.9752785262472556,0.0742559623517995,0.099290620603231,True,False,False
Ifitm3,2.64869903787712e-10,2.17538661365331e-07,0.0176602311376584,0.4080042538301357,0.2311335527890922,0.0581467320804295,True,False,False
Shisa9,2.74155365076467e-10,2.23521307084779e-07,0.0472574242745446,0.6268976809409212,0.2114598378739952,0.0581467320804295,True,False,False
Desi1,2.86154655526616e-10,2.31613823443023e-07,0.0024607672983926,0.1154315063128127,0.2510038299508755,0.099290620603231,True,False,False
Ppfia1,3.1729496807742004e-10,2.54971201707957e-07,0.052901304183893,0.6599023151837095,0.1959414090433605,0.0581467320804295,True,False,False
Bcl11b,3.83192699793256e-10,3.05725692504853e-07,0.0017079960439588,0.0898461337726964,0.2066481112455254,0.099290620603231,True,False,False
Atp1a2,4.0414427360246903e-10,3.20154833750892e-07,8.096383835032306e-05,0.0089986565200714,0.2836264340795294,0.099290620603231,True,True,True
Cdr1,4.28671320662488e-10,3.37193217892693e-07,5.507087764922147e-06,0.0010294082084218,0.496243304054374,0.0581467320804295,True,True,True
Eif1,4.37992975221846e-10,3.42116368929777e-07,2.037699648405056e-05,0.0031821646281485,0.31729005854961,0.099290620603231,True,True,True
Prss23,4.67814897930907e-10,3.62872705204578e-07,0.0064693854841783,0.2286899963275293,0.1796103910104492,0.099290620603231,True,False,False
Ndrg4,4.73080352669797e-10,3.64426253264195e-07,1.678786194281301e-06,0.0003986311663212,0.3042251995760226,0.099290620603231,True,True,True
2310022B05Rik,5.05219199808948e-10,3.86518012063723e-07,0.0611363945049927,0.6952915226445093,0.1118791236577343,0.099290620603231,True,False,False
Lcat,5.26897969699291e-10,3.97656015010977e-07,0.0918525010480588,0.7946594007222316,0.382569634806246,0.0340519822626955,True,False,False
Hmgcs2,5.24719268035767e-10,3.97656015010977e-07,0.0012522411833791,0.0721911190623787,0.3090353412074679,0.0581467320804295,True,False,False
Camk4,5.67284885732988e-10,4.25263090175263e-07,0.0176489882319061,0.4080042538301357,0.1648230248157796,0.099290620603231,True,False,False
Aspa,5.93415649952078e-10,4.41886244826305e-07,0.0329627645062181,0.5413335648085398,0.2020944306376229,0.0581467320804295,True,False,False
Kcnj10,6.933760232641361e-10,5.12902267264819e-07,4.721728850132223e-07,0.0001456299220602,0.5596216145111329,0.0581467320804295,True,True,True
Atp1b2,7.81758435763891e-10,5.74475794843194e-07,0.0001683459849481,0.0159760339715834,0.3673288356775815,0.0581467320804295,True,True,True
Trh,8.33704438818472e-10,6.08644117991058e-07,0.0773346338646663,0.7528514312449802,0.108264555067114,0.099290620603231,True,False,False
Adcy2,1.0268632610888101e-09,7.44791379883106e-07,0.0230769602617283,0.4636815289070725,0.1696202259910661,0.099290620603231,True,False,False
Sox10,1.10881015480402e-09,7.98112122544882e-07,0.0204452834180663,0.4377440474526741,0.2277486174446444,0.0581467320804295,True,False,False
Dlgap1,1.1146685796603602e-09,7.98112122544882e-07,1.0748159218199049e-07,3.90000118455652e-05,0.5059067071528754,0.0581467320804295,True,True,True
Pebp1,1.12271392183061e-09,7.98752447528972e-07,0.0003997420791397,0.0296006742632671,0.3272693959814814,0.1695474016689043,True,True,True
Rps29,1.1925925802458402e-09,8.43097424125992e-07,0.2289638695755548,0.9752785262472556,0.3455171091501633,0.0340519822626955,True,False,False
Cpe,1.3417695843287402e-09,9.42591599476344e-07,1.893907253247562e-11,1.7973179833319364e-08,0.7148938315680634,0.0581467320804295,True,True,True
Mt1,1.38052413944934e-09,9.63755276217327e-07,0.000324484988347,0.0254942153801986,0.3537020261514679,0.0581467320804295,True,True,True
Fam163b,1.4318892738174302e-09,9.93404918985632e-07,0.000145514877915,0.0142477543558551,0.3809433686503088,0.0581467320804295,True,True,True
Plce1,1.5160533939351202e-09,1.0453030769696e-06,0.0110821417283484,0.3186865393814994,0.1762931073220625,0.099290620603231,True,False,False
Itm2a,1.5622616533761402e-09,1.07055482902416e-06,0.0301242284399287,0.5215463792823223,0.1312099597672618,0.099290620603231,True,False,False
Psat1,1.62160596062222e-09,1.10444534820367e-06,0.0047387754947691,0.1826946039967737,0.2650041454394557,0.0581467320804295,True,False,False
Thbs2,1.7823887921153402e-09,1.20659423156578e-06,0.0608147930009035,0.6940427870991952,0.1799888214551723,0.0581467320804295,True,False,False
Ppfia2,1.9170890430686402e-09,1.28223775455829e-06,0.0030046366236716,0.1314839301568678,0.3537860731644661,0.0581467320804295,True,False,False
Ccnd2,1.9146229046640404e-09,1.28223775455829e-06,0.0017114242876374,0.0898461337726964,0.3175429487155983,0.0581467320804295,True,False,False
Dlx1,2.2390556075890804e-09,1.48207010734754e-06,0.0054656592074214,0.204332841339269,0.1789256992638971,0.099290620603231,True,False,False
Gpt2,2.24239804502702e-09,1.48207010734754e-06,0.0270661000870116,0.5051656229553133,0.1458040516658394,0.099290620603231,True,False,False
Camkv,2.61292099068555e-09,1.70676179843463e-06,0.0094422126643107,0.2934221099234309,0.2629945756908818,0.0581467320804295,True,False,False
Map2k1,2.60730936840758e-09,1.70676179843463e-06,0.0134142180532272,0.3543708953376125,0.1677775181483398,0.099290620603231,True,False,False
Dync1i1,2.90058133067816e-09,1.88364625630514e-06,6.680570094230731e-06,0.0011944665688771,0.3346605871493922,0.099290620603231,True,True,True
Trnp1,2.97226510070914e-09,1.9190406991966e-06,5.553353943610339e-05,0.0067168360394432,0.4070336473307459,0.0581467320804295,True,True,True
Slc13a3,3.2755648193827402e-09,2.10271152972056e-06,0.0298276934626023,0.5215463792823223,0.1261058493183667,0.099290620603231,True,False,False
Igsf3,3.3309928149094503e-09,2.12607408359569e-06,0.0021539234445842,0.1050314369005349,0.2533340384571309,0.0581467320804295,True,False,False
Serpine2,3.4910446755631605e-09,2.21557004687328e-06,0.0495559771654768,0.6381825552976669,0.1832009915940421,0.0581467320804295,True,False,False
Nmb,3.63820040760743e-09,2.29591654739154e-06,0.0374759241453964,0.5645182859362103,0.1929937963473014,0.0581467320804295,True,False,False
Dbi,3.8321681383735e-09,2.40473541712009e-06,3.2734992859273504e-05,0.0045588921244921,0.3947447538157303,0.0581467320804295,True,True,True
Vstm4,4.26578194989702e-09,2.66187935286553e-06,0.0028993058583866,0.1282033561824929,0.3493506646944906,0.0581467320804295,True,False,False
Fscn1,4.54488802148489e-09,2.82028779930251e-06,0.0021473946591237,0.1050314369005349,0.2229664101983529,0.099290620603231,True,False,False
Marcks,4.698185618323691e-09,2.89930792452946e-06,1.893727230584119e-08,9.734547018215117e-06,0.6173436012895689,0.0581467320804295,True,True,True
Gabra1,4.93065088758016e-09,3.02604660169557e-06,1.4968087543865138e-06,0.0003693225920573,0.500434539856681,0.0581467320804295,True,True,True
Plekhb1,5.83651926788775e-09,3.56242377214177e-06,0.0039068177929167,0.158027577413818,0.3236970007969954,0.0581467320804295,True,False,False
Pik3r1,6.15499828882093e-09,3.73639566776107e-06,0.0052411813767514,0.1983449528987196,0.668050675883836,0.0340519822626955,True,False,False
Zfp385a,6.269113228540851e-09,3.78509803032555e-06,0.0402714538631633,0.5810266489525525,0.1294799265051316,0.099290620603231,True,False,False
Bambi,6.366137617064281e-09,3.82301343879502e-06,0.0021491229359363,0.1050314369005349,0.2063122994332431,0.099290620603231,True,False,False
Dcx,6.6281626853737e-09,3.95908019822295e-06,0.0222333838501491,0.4557451522228509,0.1284500256260138,0.099290620603231,True,False,False
Rgs12,7.047161076911831e-09,4.16480949082206e-06,0.0001438120978229,0.0141936788067381,0.2248152641882063,0.099290620603231,True,True,True
Gm1821,7.0236552129898705e-09,4.16480949082206e-06,0.0018545944396677,0.0953331368563975,0.2168452902118167,0.099290620603231,True,False,False
Slc4a4,7.475810859247641e-09,4.39488434175158e-06,0.000975277972228,0.0600419031501116,0.2171785228649046,0.099290620603231,True,False,False
Mmd2,7.88421894437619e-09,4.58669850419158e-06,0.0053437734387411,0.2009943076638706,0.1817968365821423,0.099290620603231,True,False,False
Doc2g,7.845149307961211e-09,4.58669850419158e-06,4.197171898923102e-08,1.991558066039012e-05,0.6174693337496673,0.0581467320804295,True,True,True
Mtss1l,8.18839973604213e-09,4.73897560365596e-06,0.0293016965861463,0.520072861789404,0.1402044395271396,0.099290620603231,True,False,False
B2m,8.34391244985966e-09,4.80408579689267e-06,0.0020790698459484,0.1034253414897804,0.3251956778220603,0.0581467320804295,True,False,False
Gapdh,8.565227083146e-09,4.90621997759477e-06,4.823033351386563e-05,0.0060102790359652,0.3467307497763665,0.099290620603231,True,True,True
Pde5a,8.70904126593075e-09,4.96314568458369e-06,0.0342665870712891,0.548733612693665,0.2106769213472272,0.0581467320804295,True,False,False
Nudt4,9.76470082569847e-09,5.53650201024961e-06,0.035957314725235,0.5551721834057551,0.1537754105344916,0.099290620603231,True,False,False
Atp2b1,9.96501570149633e-09,5.5932941228996e-06,0.0018623073666524,0.0953331368563975,0.1944402550830871,0.099290620603231,True,False,False
